CREST	THIGH	LEG	FOOT	TOE	LIMB	HIP	KNEE	ANKLE	MTP	AB/AD_PELVIS	ROT_PELVIS					PELVIS_R	PELVIS_R	PELVIS_R	PELVIS_L	PELVIS_L	PELVIS_L	
-16.80333333	26.56666667	-42.83333333	32.56666667	64.51666667	12.03333333	136.8333333	110.6666667	97.28333333	212	2.838666667	-184.4666667					-1.49E+01	-1.87E+01	-1.71E+01	-2.43E+01	-1.87E+01	-7.12E+00	-1.68E+01
-17.12166667	25.65	-43.96666667	31.1	63.83333333	10.845	137.1666667	110.4666667	97.41666667	212.6666667	2.733166667	-184.1666667					-1.53E+01	-1.90E+01	-1.73E+01	-2.47E+01	-1.89E+01	-7.53E+00	-1.71E+01
-17.45666667	24.76666667	-45.06666667	29.61666667	63.1	9.645	137.8333333	110.05	97.58333333	213.5	2.613333333	-184.0666667					-1.56E+01	-1.94E+01	-1.76E+01	-2.51E+01	-1.91E+01	-7.94E+00	-1.75E+01
-17.81	23.83333333	-46.15	28.11666667	62.36666667	8.445	138.3333333	109.8166667	97.76666667	214.1666667	2.485	-183.95					-1.60E+01	-1.98E+01	-1.79E+01	-2.55E+01	-1.93E+01	-8.36E+00	-1.78E+01
-18.17833333	22.96666667	-47.25	26.61666667	61.58333333	7.2385	139	109.7333333	97.96666667	215.1666667	2.373333333	-183.6833333					-1.63E+01	-2.02E+01	-1.82E+01	-2.60E+01	-1.96E+01	-8.77E+00	-1.82E+01
-18.49666667	22.1	-48.3	25.07166667	60.81666667	6.0305	139.3333333	109.1666667	98.56666667	215.8333333	2.248333333	-183.4166667					-1.66E+01	-2.06E+01	-1.85E+01	-2.63E+01	-1.98E+01	-9.18E+00	-1.85E+01
-18.85	21.21666667	-49.36666667	23.59333333	59.95	4.822333333	140	108.9166667	98.83333333	216.5	2.086833333	-183.1666667					-1.69E+01	-2.10E+01	-1.88E+01	-2.67E+01	-2.01E+01	-9.60E+00	-1.89E+01
-19.18333333	20.36666667	-50.36666667	22.07	59.06666667	3.6145	140.5	108.5166667	99.1	217.1666667	1.943	-183.0833333					-1.72E+01	-2.13E+01	-1.91E+01	-2.71E+01	-2.04E+01	-1.00E+01	-1.92E+01
-19.53333333	19.51666667	-51.31666667	20.56833333	58.16666667	2.406666667	140.8333333	108.4333333	99.56666667	217.5	1.796166667	-182.6666667					-1.75E+01	-2.17E+01	-1.94E+01	-2.75E+01	-2.07E+01	-1.04E+01	-1.95E+01
-19.85	18.66666667	-52.3	19.03833333	57.23333333	1.203166667	141.5	108.0166667	99.86666667	218.1666667	1.663833333	-182.6166667					-1.77E+01	-2.20E+01	-1.97E+01	-2.79E+01	-2.10E+01	-1.08E+01	-1.99E+01
-20.21666667	17.85	-53.23333333	17.49233333	56.23333333	0.001333333	141.8333333	107.9333333	100.55	218.5	1.525283333	-182.3666667					-1.80E+01	-2.23E+01	-2.01E+01	-2.83E+01	-2.13E+01	-1.13E+01	-2.02E+01
-20.53333333	17.045	-54.16666667	15.95166667	55.18333333	-1.194666667	142.3333333	107.6666667	101.0333333	219.3333333	1.394566667	-182.1333333					-1.83E+01	-2.25E+01	-2.04E+01	-2.87E+01	-2.16E+01	-1.17E+01	-2.05E+01
