THIGH	LEG	FOOT	TOE	LIMB	HIP	KNEE	ANKLE	MTP	AB/AD_PELVIS	ROT_PELVIS	AB/ADKNEE
29.91861111	-64.60555556	-2.237944444	48.31666667	-15.69555556	99.1	85.33333333	112.2722222	230.4444444	-0.658666667	2.808333333	40.66666667
29.56055556	-64.92222222	-3.432055556	47.32777778	-16.49555556	99.23333333	85.31666667	113.1055556	230.8333333	-0.760444444	2.826666667	40.66666667
29.2	-65.22777778	-4.649444444	46.24444444	-17.27222222	99.66111111	85.31666667	114.0444444	230.8888889	-0.856777778	2.906111111	40.72222222
28.87666667	-65.48888889	-5.844072222	45.15555556	-18.04222222	99.85	85.36111111	115.1333333	230.9444444	-0.955	2.906222222	40.72222222
28.56388889	-65.75	-7.031555556	44.03888889	-18.79277778	100.1666667	85.45	115.9444444	231.0555556	-1.051111111	3.021722222	40.77777778
28.25444444	-65.99444444	-8.210555556	42.93333333	-19.51777778	100.3388889	85.41111111	116.7222222	231.1111111	-1.142222222	3.028888889	40.88888889
27.96722222	-66.23888889	-9.347777778	41.825	-20.235	100.5888889	85.42222222	117.5555556	231.1666667	-1.221111111	3.093611111	40.94444444
27.68888889	-66.47777778	-10.45172222	40.68944444	-20.91944444	100.8	85.37777778	118.5555556	231.2222222	-1.296666667	3.204444444	41.05555556
27.42055556	-66.72222222	-11.50472222	39.55777778	-21.59444444	101.0166667	85.31111111	119.2777778	230.9444444	-1.362777778	3.196111111	41.22222222
27.18444444	-66.98333333	-12.494	38.39166667	-22.21666667	101.2666667	85.24444444	120.1666667	230.9444444	-1.4315	3.263055556	41.5
26.94944444	-67.24444444	-13.48833333	37.14944444	-22.80555556	101.4055556	85.17777778	121	230.5555556	-1.491444444	3.373261111	41.61111111
26.71277778	-67.47222222	-14.48222222	35.83977778	-23.36666667	101.5444444	85.05555556	121.7777778	230.3333333	-1.557055556	3.418944444	41.77777778
26.48	-67.7	-15.52	34.43833333	-23.88333333	101.7333333	85.04444444	122.8333333	229.8888889	-1.625222222	3.461166667	42.11111111
26.27388889	-67.87777778	-16.62611111	32.96	-24.39444444	101.9611111	85.04444444	123.8333333	229.6111111	-1.690666667	3.494777778	42.5
26.10333333	-68.02222222	-17.81055556	31.39111111	-24.91666667	102.1333333	85.07222222	125.2222222	229.0555556	-1.765277778	3.572222222	42.77777778
25.94611111	-68.10555556	-19.08055556	29.72111111	-25.44444444	102.25	85.12222222	126.6666667	228.7777778	-1.838111111	3.53	43.05555556
25.81666667	-68.16111111	-20.43888889	27.86416667	-26.02777778	102.4777778	85.16111111	128.2777778	228.4444444	-1.911277778	3.543333333	43.33333333
25.73944444	-68.16666667	-21.83333333	25.79172222	-26.60555556	102.6277778	85.2	129.8888889	227.6666667	-1.985722222	3.541	43.72222222
25.70388889	-68.13333333	-23.27222222	23.48777778	-27.17777778	102.7111111	85.2	131.4444444	226.7777778	-2.059277778	3.4805	43.66666667
25.71666667	-68.10555556	-24.62777778	20.91888889	-27.71	102.85	85.17222222	133.0555556	225.6666667	-2.124111111	3.466388889	43.66666667
25.77944444	-68.07777778	-25.85	18.11055556	-28.18777778	102.7944444	85.07222222	134.3722222	223.9444444	-2.184907444	3.370777778	43.88888889
25.89888889	-68.11111111	-26.86111111	15.06372222	-28.56777778	102.75	84.79444444	135.2944444	222	-2.238777778	3.273944444	43.83333333
26.09722222	-68.17222222	-27.56111111	11.93905556	-28.82722222	102.7055556	84.46111111	135.9333333	219.4444444	-2.273611111	3.159472222	43.72222222
26.36388889	-68.32222222	-27.86222222	8.800777778	-28.95	102.4166667	83.89444444	135.9166667	216.7222222	-2.289666667	3.025444444	43.66666667
26.72	-68.58888889	-27.61444444	5.826111111	-28.89227778	102.2222222	83.13333333	135.2166667	213.3888889	-2.274555556	2.836611111	43.55555556
27.18555556	-68.98888889	-26.58666667	3.150166667	-28.66666667	101.7388889	82.12222222	133.8222222	209.8888889	-2.234722222	2.704444444	43.44444444
27.73722222	-69.50555556	-24.7	1.009111111	-28.13222222	101.2444444	80.90555556	131.2722222	205.6666667	-2.154722222	2.560277778	43.27777778
28.41222222	-70.16666667	-21.79388889	-0.424361111	-27.21722222	100.5555556	79.50555556	127.75	201.3888889	-2.021611111	2.420616667	42.83333333
29.23555556	-70.90555556	-17.74488889	-0.949444444	-25.875	99.8	77.88888889	122.95	196.8888889	-1.833222222	2.224905556	42.44444444
30.22555556	-71.67222222	-12.50861111	-0.256	-23.94222222	98.94444444	76.1	117.0055556	192.3888889	-1.607794444	2.069277778	42.38888889
31.40333333	-72.37777778	-6.055555556	1.901944444	-21.35966667	97.81666667	74.23333333	110.1055556	187.9444444	-1.3215	1.869833333	42.05555556
32.80344444	-72.86666667	1.511111111	5.713333333	-18.045	96.52777778	72.47222222	102.5555556	184.2222222	-0.970555556	1.666666667	41.77777778
34.40644444	-72.97222222	10.06055556	11.24222222	-13.92833333	95.12222222	70.92777778	94.65	181.1666667	-0.590611111	1.413333333	41.66666667
36.24	-72.5	19.38605556	18.32444444	-9.057777778	93.51666667	69.80555556	86.62222222	178.9444444	-0.186944444	1.227222222	41.38888889
38.26833333	-71.25	29.13277778	26.70944444	-3.434444444	91.86111111	69.23333333	78.95	177.6111111	0.246944444	0.956111111	41.38888889
40.43388889	-69.00555556	38.85888889	35.97	2.741388889	90.07222222	69.39444444	72.15	177.0555556	0.652888889	0.717777778	41.5
42.66833333	-65.67222222	48.02222222	45.651	9.215	88.3	70.5	66.85555556	177.7222222	1.032277778	0.561666667	41.55555556
44.84444444	-61.18333333	55.81111111	55.15055556	15.60666667	86.68333333	72.56666667	63.58333333	179.3888889	1.347777778	0.423222222	41.55555556
46.85	-55.76111111	61.68888889	63.73333333	21.41888889	85.33333333	75.61666667	62.62222222	182.0555556	1.564444444	0.426533333	41.5
48.53888889	-49.74444444	65.35	70.79444444	26.16888889	84.32777778	79.42777778	63.85	185.3888889	1.704444444	0.528888889	41.27777778
49.81111111	-43.66444444	66.9	75.84444444	29.55555556	83.61666667	83.62222222	66.81111111	188.9444444	1.755388889	0.708555556	40.83333333
50.65	-38.03	66.68888889	78.73888889	31.48333333	83.38888889	87.85	70.96666667	192.1111111	1.743833333	0.972222222	40.5
51.05	-33.26555556	65.25	79.78333333	32.12222222	83.71111111	91.82777778	75.65555556	194.6111111	1.663277778	1.137222222	40.22222222
51.06111111	-29.71611111	63.02222222	79.45	31.82777778	84.14444444	95.18888889	80.26111111	196.5	1.5525	1.165555556	40.05555556
50.76111111	-27.46370556	60.42777778	78.30555556	30.88888889	84.82777778	98.02222222	84.43333333	197.9444444	1.408	1.204444444	40
