body_Z	body_Y	body_X	chain_1_segment_1_Y	chain_1_segment_1_Z	chain_1_segment_1_X	chain_1_segment_2_Y	chain_1_segment_2_Z	chain_1_segment_2_X	chain_1_segment_3_Y	chain_1_segment_3_Z	chain_1_segment_3_X	chain_1_segment_4_Z	chain_1_segment_4_Y	chain_1_segment_4_X	chain_2_segment_1_Y	chain_2_segment_1_Z	chain_2_segment_1_X	chain_2_segment_2_Y	chain_2_segment_2_Z	chain_2_segment_2_X	chain_2_segment_3_Y	chain_2_segment_3_Z	chain_2_segment_3_X	chain_2_segment_4_Z	chain_2_segment_4_Y	chain_2_segment_4_X
8.810073e+001	8.700561e+000	-7.930849e+001	8.147870e+001	2.101892e+001	-1.617161e+002	-1.036951e+002	0	-1.806095e+002	-5.117151e+000	2.550842e-014	0	-7.111369e+000	-4.447036e+001	0	7.451272e+001	-6.476678e+000	-1.553660e+002	-1.049921e+002	0	-1.649676e+002	-1.166559e+002	3.058195e-014	0	7.355432e+000	1.420768e+001	0
8.809353e+001	8.757331e+000	-7.927144e+001	8.145215e+001	2.112041e+001	-1.613371e+002	-1.040268e+002	0	-1.808674e+002	-5.018058e+000	0	0	-7.593550e+000	-4.450189e+001	0	7.445984e+001	-6.487726e+000	-1.552144e+002	-1.045072e+002	-3.405152e-014	-1.647881e+002	-1.161969e+002	-6.109524e-014	0	6.952828e+000	1.395951e+001	0
8.808436e+001	8.812277e+000	-7.923336e+001	8.142028e+001	2.121597e+001	-1.609542e+002	-1.043642e+002	0	-1.811057e+002	-4.917998e+000	0	0	-8.055237e+000	-4.454285e+001	0	7.441647e+001	-6.500193e+000	-1.550822e+002	-1.040649e+002	-3.405874e-014	-1.646181e+002	-1.157738e+002	-3.051626e-014	0	6.571693e+000	1.373190e+001	0
8.807322e+001	8.865178e+000	-7.919418e+001	8.138304e+001	2.130562e+001	-1.605676e+002	-1.047080e+002	5.071334e-014	-1.813255e+002	-4.817422e+000	-2.546483e-014	0	-8.498153e+000	-4.459257e+001	0	7.438291e+001	-6.513651e+000	-1.549686e+002	-1.036648e+002	0	-1.644576e+002	-1.153861e+002	-3.048775e-014	0	6.211168e+000	1.352501e+001	0
8.806015e+001	8.915822e+000	-7.915383e+001	8.134040e+001	2.138945e+001	-1.601779e+002	-1.050589e+002	0	-1.815284e+002	-4.716763e+000	0	0	-8.924392e+000	-4.465018e+001	0	7.435943e+001	-6.527622e+000	-1.548727e+002	-1.033059e+002	1.703523e-014	-1.643065e+002	-1.150328e+002	0	0	5.870295e+000	1.333865e+001	0
8.804517e+001	8.964008e+000	-7.911223e+001	8.129241e+001	2.146756e+001	-1.597856e+002	-1.054176e+002	1.269892e-014	-1.817162e+002	-4.616425e+000	0	0	-9.336425e+000	-4.471456e+001	0	7.434627e+001	-6.541589e+000	-1.547935e+002	-1.029868e+002	1.703744e-014	-1.641646e+002	-1.147124e+002	0	0	5.548050e+000	1.317236e+001	0
8.802830e+001	9.009549e+000	-7.906934e+001	8.123915e+001	2.154009e+001	-1.593909e+002	-1.057847e+002	1.271247e-014	-1.818913e+002	-4.516768e+000	0	0	-9.737109e+000	-4.478447e+001	0	7.434363e+001	-6.554999e+000	-1.547300e+002	-1.027059e+002	-1.703900e-014	-1.640316e+002	-1.144228e+002	3.041763e-014	0	5.243369e+000	1.302542e+001	0
8.800955e+001	9.052274e+000	-7.902508e+001	8.118074e+001	2.160719e+001	-1.589943e+002	-1.061607e+002	0	-1.820566e+002	-4.418101e+000	-2.542539e-014	0	-1.012970e+001	-4.485847e+001	0	7.435170e+001	-6.567277e+000	-1.546810e+002	-1.024608e+002	3.407946e-014	-1.639070e+002	-1.141617e+002	3.039881e-014	0	4.955171e+000	1.289689e+001	0
8.798890e+001	9.092033e+000	-7.897942e+001	8.111736e+001	2.166901e+001	-1.585963e+002	-1.065461e+002	1.274582e-014	-1.822156e+002	-4.320672e+000	-5.084008e-014	0	-1.051788e+001	-4.493499e+001	0	7.437064e+001	-6.577832e+000	-1.546454e+002	-1.022491e+002	-1.703935e-014	-1.637904e+002	-1.139263e+002	0	0	4.682376e+000	1.278563e+001	0
8.796634e+001	9.128698e+000	-7.893233e+001	8.104922e+001	2.172573e+001	-1.581970e+002	-1.069411e+002	5.106199e-014	-1.823723e+002	-4.224657e+000	0	0	-1.090574e+001	-4.501237e+001	0	7.440059e+001	-6.586066e+000	-1.546222e+002	-1.020681e+002	1.703754e-014	-1.636811e+002	-1.137135e+002	0	0	4.423920e+000	1.269034e+001	0
8.794183e+001	9.162162e+000	-7.888376e+001	8.097654e+001	2.177750e+001	-1.577969e+002	-1.073462e+002	0	-1.825311e+002	-4.130161e+000	0	0	-1.129785e+001	-4.508879e+001	0	7.444167e+001	-6.591390e+000	-1.546101e+002	-1.019149e+002	0	-1.635785e+002	-1.135200e+002	3.035347e-014	0	4.178764e+000	1.260964e+001	0
